trial,kind,group,status,physical_execution,actual_tabletop_route,lift_success,flip_success,last_scored_gait,last_scored_gait_pass,last_passed_gait,g1_original_plan_gate_passed,observed_thumb_free_stable_hold,observed_thumb_free_supports,final_gait_world_translation_mm,final_gait_world_rotation_rad,final_gait_contacts_thumb_index_middle_ring_pinky,first_world_instability_s,first_low_after_lift_s,entered_policy,operation_steps,policy_action_mode,unchanged_policy_actions,static_hold_scored_seconds,static_hold_fixed_world_stable,static_hold_world_drift_mm,static_hold_world_rotation_rad,basic_10mm,strict_2mm,operation_fixed_world_stable,slider_travel_mm,endpoint_max_errors_mm,operation_drop,operation_world_drift_mm,operation_world_rotation_rad,operation_hand_drift_mm,operation_hand_rotation_rad,required_operation_success,endpoint_and_retention_cycles,continuous_whole_success,abort_phase,abort_reason,raw_failure_class,caution
R1-14-index-distal-only-support,development,B,ended,True,True,,True,index_distal_establish,False,unloaded_hold,True,True,"[[""middle"", ""ring""]]",1.925330838957173,0.254017182319252,"[0.0, 0.36666666666666664, 1.0, 1.0, 0.0]",53.76666947081685,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_index_distal_establish,Gait fixed-reference stability failed: index_distal_establish,ValueError,No policy evaluation; not a teacher/student failure
R1-15-align-then-index-distal,development,B,ended,True,True,,True,index_distal_support_hold,False,index_distal_establish,True,True,"[[""middle"", ""ring""], [""middle"", ""ring""], [""middle"", ""ring""]]",3.1627185684280863,0.11789595246529849,"[0.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_index_distal_support_hold,Required support contact not sustained: index_distal_support_hold digit 1,ValueError,No policy evaluation; not a teacher/student failure
R1-16-aligned-replanned-index,development,B,ended,True,True,True,True,index_distal_support_hold,True,index_distal_support_hold,True,True,"[[""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""]]",3.0884620695501455,0.13063703735177085,"[0.0, 1.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,lost_after_lift,No policy evaluation; not a teacher/student failure
R2-01-three-support-wrist15,development,B,ended,True,True,,True,supported_wrist_roll_hold,False,supported_wrist_roll_6,True,True,"[[""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""], [""middle"", ""ring""]]",2.961118297072117,0.1832609747809194,"[0.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_supported_wrist_roll_hold,Required support contact not sustained: supported_wrist_roll_hold digit 1,ValueError,No policy evaluation; not a teacher/student failure
R2-02-wrist15-index-reseat,development,B,ended,True,True,True,True,post_wrist_index_distal_support_hold,True,post_wrist_index_distal_support_hold,True,True,"[[""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""]]",3.312435895998353,0.18858392544444602,"[0.0, 1.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,lost_after_lift,No policy evaluation; not a teacher/student failure
R2-03-wrist15-normal-feedback,development,B,ended,True,True,True,True,supported_wrist_roll_hold,True,supported_wrist_roll_hold,True,True,"[[""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""], [""index"", ""middle"", ""ring""]]",3.207552221770736,0.1855343631414179,"[0.0, 0.9666666666666667, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,lost_after_lift,No policy evaluation; not a teacher/student failure
R2-04-reseated-wrist-next15,development,B,ended,True,True,,True,wrist_segment2_2,False,wrist_segment2_1,True,True,"[[""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""]]",3.3633207057888317,0.26498517387230824,"[0.0, 0.4666666666666667, 1.0, 1.0, 0.0]",66.76667014881968,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_wrist_segment2_2,Gait fixed-reference stability failed: wrist_segment2_2,ValueError,No policy evaluation; not a teacher/student failure
R2-05-segment2-normal-feedback,development,B,ended,True,True,,True,wrist_segment2_4,False,wrist_segment2_3,True,True,"[[""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""]]",5.383903780498386,0.5677682305874141,"[0.0, 0.6666666666666666, 1.0, 1.0, 0.0]",67.83333687111735,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_wrist_segment2_4,Gait fixed-reference stability failed: wrist_segment2_4,ValueError,No policy evaluation; not a teacher/student failure
R2-06-A-supported55-teacher,development,A,ended,True,False,,,,,,False,False,[],,,,,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,preset_candidate_hold_failed_before_policy,Independent preset A; no acquisition
R2-07-feedback-wrist15-alignment,development,B,ended,True,True,,True,wrist15_aligned_three_support_hold,False,wrist15_fixed_goal_align,True,True,"[[""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""], [""index"", ""middle"", ""ring""]]",4.44963970439567,0.08218063656694287,"[0.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_wrist15_aligned_three_support_hold,Required support contact not sustained: wrist15_aligned_three_support_hold digit 1,ValueError,No policy evaluation; not a teacher/student failure
R2-08-pinky-fourth-support,development,B,ended,True,True,,True,pinky_four_support_hold,False,pinky_side_close,True,True,"[[""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""], [""index"", ""middle"", ""ring""], [""middle"", ""ring"", ""pinky""]]",3.354110965856934,0.21108910770516773,"[0.0, 0.0, 1.0, 1.0, 1.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_pinky_four_support_hold,Required support contact not sustained: pinky_four_support_hold digit 1,ValueError,No policy evaluation; not a teacher/student failure
R2-09-A-functional-actual-settle,development,A,ended,False,False,,,,,,,False,[],,,,,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,,Independent preset A; no acquisition
R2-10-A-functional-actual-settle-core70,development,A,ended,True,False,,,,,,False,False,[],,,,,,True,600,full,True,,,,,True,True,True,39.86271005123854,"[0.8149300329387197, 0.0, 0.23950306698680007, 0.0]",False,4.5203844285608605,0.2266056815287532,4.465752205889347,0.22713552196529257,True,2,False,,,,Independent preset A; no acquisition
